lhs,1,2,rhs,support,confidence,lift
baking powder, ,other vegetables, ,0.007320793085917641,0.41379310344827586,2.138547121604726
baking powder, ,whole milk, ,0.009252669039145907,0.5229885057471264,2.0467934556398677
beef, ,margarine, ,0.0062023385866802234,0.1182170542635659,2.0185151539621016
beef, ,pork, ,0.007625826131164209,0.14534883720930233,2.521174275050244
beef, ,root vegetables, ,0.017386883579054397,0.3313953488372093,3.0403668431100312
berries, ,whipped/sour cream, ,0.009049313675648195,0.27217125382262997,3.796885505454703
berries, ,yogurt, ,0.010574478901881037,0.3180428134556575,2.279847718904075
butter, ,chicken, ,0.005795627859684799,0.10458715596330276,2.4374755424148877
butter, ,chocolate, ,0.0062023385866802234,0.11192660550458715,2.2557339449541285
butter, ,curd, ,0.00681240467717336,0.12293577981651375,2.307391974227887
butter, ,domestic eggs, ,0.009659379766141332,0.1743119266055046,2.7473682662902847
butter, ,frozen vegetables, ,0.005795627859684799,0.10458715596330276,2.1746610547549317
butter, ,fruit/vegetable juice, ,0.008032536858159633,0.14495412844036695,2.0050968399592253
butter, ,margarine, ,0.006710726995424504,0.12110091743119267,2.0677561162079514
butter, ,root vegetables, ,0.012913065582104729,0.23302752293577983,2.137897097083391
butter, ,whipped/sour cream, ,0.010167768174885612,0.18348623853211007,2.5596980935649682
butter milk, ,pip fruit, ,0.005083884087442806,0.18181818181818182,2.40347018572825
butter milk, ,yogurt, ,0.008540925266903915,0.3054545454545455,2.18961038961039
chicken, ,domestic eggs, ,0.0062023385866802234,0.14454976303317535,2.2782803196014094
chicken, ,frozen vegetables, ,0.006710726995424504,0.15639810426540282,3.251956354017414
chicken, ,other vegetables, ,0.017895271987798677,0.4170616113744075,2.1554392789633723
chicken, ,pork, ,0.005795627859684799,0.13507109004739337,2.3428997718097246
chicken, ,root vegetables, ,0.010879511947127605,0.2535545023696682,2.32622064440829
chicken, ,whipped/sour cream, ,0.007219115404168785,0.16824644549763032,2.3470975765520485
chocolate, ,long life bakery product, ,0.0052872394509405184,0.10655737704918034,2.847803813257306
chocolate, ,waffles, ,0.005795627859684799,0.1168032786885246,3.039048269581057
onions, ,citrus fruit, ,0.005592272496187087,0.18032786885245902,2.1787771377935314
citrus fruit, ,pip fruit, ,0.013828164717844434,0.1670761670761671,2.208594224723257
citrus fruit, ,tropical fruit, ,0.0199288256227758,0.2407862407862408,2.2947022074929055
cream cheese, ,curd, ,0.005083884087442806,0.1282051282051282,2.40629281659816
cream cheese, ,domestic eggs, ,0.005083884087442806,0.1282051282051282,2.020668967784352
cream cheese, ,pip fruit, ,0.006100660904931368,0.15384615384615385,2.033705541770058
cream cheese, ,whipped/sour cream, ,0.006405693950177936,0.16153846153846155,2.253518821603928
cream cheese, ,yogurt, ,0.012404677173360447,0.3128205128205128,2.2424123495552064
dessert, ,curd, ,0.005185561769191663,0.13972602739726028,2.6225295409390363
curd, ,margarine, ,0.00630401626842908,0.11832061068702292,2.0202833439355388
curd, ,whipped/sour cream, ,0.01047280122013218,0.1965648854961832,2.7421498565318605
curd, ,yogurt, ,0.01728520589730554,0.3244274809160305,2.325615360648076
dessert, ,fruit/vegetable juice, ,0.005998983223182512,0.16164383561643836,2.2359593857773157
domestic eggs, ,margarine, ,0.008337569903406202,0.1314102564102564,2.2437844996438745
domestic eggs, ,root vegetables, ,0.014336553126588714,0.22596153846153844,2.0730706443742823
domestic eggs, ,whipped/sour cream, ,0.0099644128113879,0.15705128205128205,2.1909210765593743
white bread, ,domestic eggs, ,0.005795627859684799,0.13768115942028986,2.1700227610553697
white bread, ,frankfurter, ,0.005185561769191663,0.12318840579710146,2.0888930534732633
frozen vegetables, ,fruit/vegetable juice, ,0.007829181494661922,0.16279069767441862,2.2518235043993067
frozen vegetables, ,pip fruit, ,0.007320793085917641,0.1522198731501057,2.0122075973538838
frozen vegetables, ,pork, ,0.006405693950177936,0.1331923890063425,2.3103124265914965
frozen vegetables, ,root vegetables, ,0.011591255719369599,0.24101479915433405,2.211175885898205
frozen vegetables, ,whipped/sour cream, ,0.007930859176410779,0.1649048625792812,2.3004813098825965
long life bakery product, ,fruit/vegetable juice, ,0.0062023385866802234,0.16576086956521738,2.2929087934935484
salty snack, ,fruit/vegetable juice, ,0.005998983223182512,0.1586021505376344,2.193884881206237
fruit/vegetable juice, ,white bread, ,0.007422470767666497,0.10267229254571027,2.439086949727199
grapes, ,other vegetables, ,0.009049313675648195,0.40454545454545454,2.0907538336597717
grapes, ,tropical fruit, ,0.006100660904931368,0.27272727272727276,2.5991014799154337
ham, ,white bread, ,0.005083884087442806,0.1953125,4.639851298309179
hamburger meat, ,other vegetables, ,0.013828164717844434,0.41590214067278286,2.149446954028807
hard cheese, ,root vegetables, ,0.005592272496187087,0.22821576763485477,2.093751935344027
hard cheese, ,sausage, ,0.005185561769191663,0.21161825726141079,2.2524519049415317
herbs, ,other vegetables, ,0.007727503812913066,0.47500000000000003,2.4548738833420916
herbs, ,root vegetables, ,0.007015760040671073,0.43124999999999997,3.956477378731343
hygiene articles, ,napkins, ,0.006100660904931368,0.18518518518518517,3.5364976627112545
long life bakery product, ,whipped/sour cream, ,0.005795627859684799,0.15489130434782608,2.160788621646623
sugar, ,margarine, ,0.005490594814438231,0.16216216216216217,2.768862612612613
meat, ,sausage, ,0.0052872394509405184,0.2047244094488189,2.179074206633262
oil, ,root vegetables, ,0.007015760040671073,0.25,2.2936100746268657
onions, ,other vegetables, ,0.014234875444839857,0.45901639344262296,2.372268118501417
onions, ,root vegetables, ,0.00945602440264362,0.3049180327868853,2.79745228774162
onions, ,whipped/sour cream, ,0.005083884087442806,0.16393442622950818,2.286943378676898
other vegetables, ,root vegetables, ,0.047381799694966954,0.24487651077246453,2.2466049285887957
soft cheese, ,other vegetables, ,0.0071174377224199285,0.41666666666666663,2.153398143282536
other vegetables, ,whipped/sour cream, ,0.02887646161667514,0.14923804519180242,2.081923651718265
waffles, ,pastry, ,0.007015760040671073,0.18253968253968256,2.0517460317460317
pip fruit, ,tropical fruit, ,0.02043721403152008,0.2701612903225806,2.5746475681420353
white bread, ,pip fruit, ,0.0066090493136756485,0.1570048309178744,2.0754603656952884
pork, ,root vegetables, ,0.01362480935434672,0.23633156966490299,2.16820987654321
sliced cheese, ,root vegetables, ,0.005592272496187087,0.22821576763485477,2.093751935344027
root vegetables, ,whipped/sour cream, ,0.01708185053380783,0.15671641791044777,2.186249603048587
sliced cheese, ,sausage, ,0.007015760040671073,0.2863070539419087,3.047434930215013
sliced cheese, ,tropical fruit, ,0.0052872394509405184,0.21576763485477177,2.056273923252597
sliced cheese, ,yogurt, ,0.008032536858159633,0.3278008298755186,2.3497967651791
soft cheese, ,yogurt, ,0.005998983223182512,0.35119047619047616,2.5174623420796887
tropical fruit, ,yogurt, ,0.029283172343670564,0.27906976744186046,2.0004746084480303
whipped/sour cream, ,yogurt, ,0.02074224707676665,0.2893617021276596,2.0742509769865394
beef, ,other vegetables,rolls/buns,0.005795627859684799,0.11046511627906977,2.5928983737581177
beef, ,other vegetables,root vegetables,0.007930859176410779,0.15116279069767444,3.190313404531391
beef, ,other vegetables,whole milk,0.009252669039145907,0.1763565891472868,2.356612845466801
yogurt,beef,other vegetables, ,0.005185561769191663,0.4434782608695652,2.291964632502456
beef, ,rolls/buns,whole milk,0.00681240467717336,0.12984496124031006,2.2926843694765697
beef, ,whole milk,root vegetables,0.008032536858159633,0.15310077519379844,3.1304493223097873
beef, ,whole milk,yogurt,0.006100660904931368,0.11627906976744186,2.0755075338707636
bottled beer,soda,bottled water, ,0.005083884087442806,0.2994011976047904,2.7089335588253114
whole milk,bottled beer,bottled water, ,0.006100660904931368,0.2985074626865672,2.7008471899929978
bottled beer,yogurt,whole milk, ,0.005185561769191663,0.5604395604395604,2.193363739324742
butter,bottled water,whole milk, ,0.005388917132689374,0.6022727272727273,2.357084071916941
other vegetables,bottled water,citrus fruit, ,0.005083884087442806,0.20491803278688525,2.475883111129013
whole milk,bottled water,citrus fruit, ,0.005897305541433655,0.1715976331360947,2.0732957271418813
fruit/vegetable juice,bottled water,soda, ,0.005185561769191663,0.3642857142857143,2.089067055393586
whole milk,bottled water,fruit/vegetable juice, ,0.005795627859684799,0.1686390532544379,2.3327216438219365
other vegetables,bottled water,root vegetables, ,0.007015760040671073,0.2827868852459016,2.5944113958894053
other vegetables,bottled water,sausage, ,0.005083884087442806,0.20491803278688525,2.1811351217088926
other vegetables,bottled water,tropical fruit, ,0.0062023385866802234,0.25,2.3825096899224807
other vegetables,bottled water,yogurt, ,0.00813421453990849,0.3278688524590164,2.3502843760455003
rolls/buns,bottled water,tropical fruit, ,0.005388917132689374,0.2226890756302521,2.122235522115823
rolls/buns,bottled water,yogurt, ,0.0071174377224199285,0.29411764705882354,2.108343337334934
tropical fruit,soda,bottled water, ,0.005185561769191663,0.24878048780487805,2.250925572733188
soda,yogurt,bottled water, ,0.007422470767666497,0.27137546468401486,2.455361265103299
whole milk,bottled water,tropical fruit, ,0.008032536858159633,0.23372781065088757,2.2274350947204256
tropical fruit,bottled water,yogurt, ,0.0071174377224199285,0.38461538461538464,2.7570643642072215
whole milk,bottled water,yogurt, ,0.009659379766141332,0.2810650887573965,2.0147778046129696
brown bread,root vegetables,whole milk, ,0.0056939501779359435,0.56,2.191643454038997
tropical fruit,brown bread,whole milk, ,0.0056939501779359435,0.5333333333333333,2.08727948003714
whole milk,brown bread,yogurt, ,0.0071174377224199285,0.282258064516129,2.0233294930875574
butter,citrus fruit,whole milk, ,0.005083884087442806,0.5555555555555555,2.1742494583720204
butter, ,whole milk,domestic eggs,0.005998983223182512,0.10825688073394496,3.6091743119266058
butter, ,other vegetables,rolls/buns,0.0056939501779359435,0.10275229357798166,2.4118587287337703
butter, ,other vegetables,root vegetables,0.0066090493136756485,0.11926605504587157,2.5171280072449504
other vegetables,butter,tropical fruit, ,0.005490594814438231,0.27411167512690354,2.6122948884429227
butter, ,other vegetables,whipped/sour cream,0.005795627859684799,0.10458715596330276,3.6218826721798685
butter, ,other vegetables,whole milk,0.011489578037620742,0.2073394495412844,2.7706297367371358
butter, ,other vegetables,yogurt,0.006405693950177936,0.11559633027522936,2.6625056399458567
butter, ,rolls/buns,whole milk,0.0066090493136756485,0.11926605504587157,2.1058916541762063
butter, ,whole milk,root vegetables,0.008235892221657347,0.14862385321100918,3.0389097636804063
butter, ,tropical fruit,whole milk,0.0062023385866802234,0.11192660550458715,2.6461494354269584
butter, ,whole milk,whipped/sour cream,0.006710726995424504,0.12110091743119267,3.7571846149393684
butter, ,whole milk,yogurt,0.009354346720894764,0.1688073394495413,3.01310378128174
chicken, ,other vegetables,root vegetables,0.0056939501779359435,0.13270142180094788,2.800683440798975
chicken, ,other vegetables,whole milk,0.008439247585155059,0.19668246445497628,2.6282228776014835
chicken, ,rolls/buns,whole milk,0.0052872394509405184,0.12322274881516587,2.175755358343189
chicken, ,whole milk,root vegetables,0.005998983223182512,0.13981042654028436,2.8587017568060222
chocolate, ,whole milk,soda,0.005083884087442806,0.10245901639344263,2.557574685861696
citrus fruit,domestic eggs,whole milk, ,0.0056939501779359435,0.5490196078431373,2.148670052979409
other vegetables,citrus fruit,pip fruit, ,0.005897305541433655,0.20422535211267603,2.699672497349689
citrus fruit, ,other vegetables,root vegetables,0.010371123538383325,0.12530712530712532,2.644625702565617
citrus fruit, ,other vegetables,tropical fruit,0.009049313675648195,0.10933660933660934,3.046248025001566
other vegetables,citrus fruit,whipped/sour cream, ,0.0056939501779359435,0.1971830985915493,2.7507741484367196
citrus fruit, ,other vegetables,whole milk,0.013014743263853584,0.15724815724815724,2.1012712317060145
other vegetables,yogurt,citrus fruit, ,0.007625826131164209,0.1756440281030445,2.1221855238248684
citrus fruit,pip fruit,tropical fruit, ,0.005592272496187087,0.4044117647058823,3.8540597925216593
whole milk,citrus fruit,pip fruit, ,0.005185561769191663,0.17,2.247244623655914
rolls/buns,citrus fruit,yogurt, ,0.005795627859684799,0.34545454545454546,2.4763450834879404
root vegetables,citrus fruit,tropical fruit, ,0.0056939501779359435,0.3218390804597701,3.0671389111645726
citrus fruit, ,whole milk,root vegetables,0.009150991357397052,0.11056511056511058,2.260723206669153
citrus fruit, ,tropical fruit,whole milk,0.009049313675648195,0.10933660933660934,2.5849171942921942
tropical fruit,citrus fruit,yogurt, ,0.00630401626842908,0.3163265306122449,2.2675447730112452
whipped/sour cream,citrus fruit,whole milk, ,0.00630401626842908,0.5794392523364487,2.267721864993622
citrus fruit, ,whole milk,yogurt,0.010269445856634469,0.12407862407862408,2.2147246239805223
yogurt,coffee,whole milk, ,0.005083884087442806,0.5208333333333333,2.0383588672237694
cream cheese, ,other vegetables,whole milk,0.006710726995424504,0.16923076923076924,2.2613921404682276
cream cheese, ,other vegetables,yogurt,0.0052872394509405184,0.13333333333333333,3.07103825136612
cream cheese, ,whole milk,yogurt,0.0066090493136756485,0.16666666666666669,2.974894131881428
curd, ,other vegetables,root vegetables,0.005490594814438231,0.10305343511450382,2.1749582282213415
curd,other vegetables,tropical fruit, ,0.0052872394509405184,0.3076923076923077,2.93231961836613
curd, ,other vegetables,whole milk,0.009862735129639044,0.1851145038167939,2.4736428601062066
curd, ,other vegetables,yogurt,0.006100660904931368,0.11450381679389314,2.637342009760981
curd,rolls/buns,whole milk, ,0.005897305541433655,0.5858585858585859,2.2928448833741313
curd, ,whole milk,root vegetables,0.0062023385866802234,0.11641221374045801,2.3802788402025046
curd, ,tropical fruit,whole milk,0.006507371631926792,0.12213740458015267,2.887551379917792
curd,tropical fruit,yogurt, ,0.0052872394509405184,0.5148514851485149,3.6906445746615475
curd, ,whole milk,whipped/sour cream,0.005897305541433655,0.11068702290076336,3.4340910732776266
curd, ,whole milk,yogurt,0.010066090493136757,0.18893129770992367,3.37230365331597
margarine,domestic eggs,whole milk, ,0.005185561769191663,0.6219512195121952,2.434098783884775
other vegetables,rolls/buns,domestic eggs, ,0.005897305541433655,0.13842482100238665,2.1817437733308855
domestic eggs, ,other vegetables,root vegetables,0.007320793085917641,0.11538461538461538,2.4352096401452625
soda,domestic eggs,other vegetables, ,0.005083884087442806,0.4098360655737705,2.1180965343762654
other vegetables,domestic eggs,whipped/sour cream, ,0.005083884087442806,0.228310502283105,3.185012468020337
domestic eggs, ,other vegetables,whole milk,0.012302999491611592,0.19391025641025642,2.5911784942865106
yogurt,domestic eggs,other vegetables, ,0.005795627859684799,0.4042553191489362,2.08925436880178
pip fruit,domestic eggs,whole milk, ,0.005388917132689374,0.6235294117647059,2.440275274455186
domestic eggs, ,whole milk,root vegetables,0.008540925266903915,0.1346153846153846,2.7524788101711177
whole milk,soda,domestic eggs, ,0.005185561769191663,0.12944162436548223,2.040157653260445
domestic eggs, ,tropical fruit,whole milk,0.006914082358922217,0.10897435897435896,2.5763529339250493
whipped/sour cream,domestic eggs,whole milk, ,0.0056939501779359435,0.5714285714285715,2.2363708714683646
domestic eggs, ,whole milk,yogurt,0.007727503812913066,0.12179487179487179,2.173961096374889
other vegetables,rolls/buns,frankfurter, ,0.005592272496187087,0.13126491646778043,2.225845609414863
whole milk,frankfurter,root vegetables, ,0.005083884087442806,0.24752475247524752,2.270901063986996
tropical fruit,frankfurter,whole milk, ,0.005185561769191663,0.5483870967741935,2.1461946266510914
whole milk,frankfurter,yogurt, ,0.0062023385866802234,0.30198019801980197,2.1647049909072535
frozen vegetables, ,other vegetables,root vegetables,0.006100660904931368,0.12684989429175475,2.677186073732635
frozen vegetables, ,other vegetables,whole milk,0.009659379766141332,0.20084566596194503,2.6838547890431106
frozen vegetables, ,other vegetables,yogurt,0.0052872394509405184,0.10993657505285412,2.53214570408623
frozen vegetables, ,whole milk,root vegetables,0.0062023385866802234,0.12896405919661733,2.636926241577404
frozen vegetables, ,whole milk,yogurt,0.006100660904931368,0.12684989429175475,2.2641900369499237
other vegetables,fruit/vegetable juice,root vegetables, ,0.0066090493136756485,0.3140096618357488,2.8808628956665947
other vegetables,fruit/vegetable juice,tropical fruit, ,0.0066090493136756485,0.3140096618357488,2.9925242482118115
whole milk,fruit/vegetable juice,other vegetables, ,0.01047280122013218,0.3931297709923664,2.0317558054177214
fruit/vegetable juice, ,other vegetables,yogurt,0.008235892221657347,0.1139240506329114,2.6239883793318115
root vegetables,fruit/vegetable juice,whole milk, ,0.006507371631926792,0.5423728813559322,2.122657098342854
whole milk,soda,fruit/vegetable juice, ,0.006100660904931368,0.15228426395939088,2.106491893165414
soda,yogurt,fruit/vegetable juice, ,0.005083884087442806,0.18587360594795538,2.5711208361436584
whole milk,fruit/vegetable juice,tropical fruit, ,0.005998983223182512,0.2251908396946565,2.1460774306171966
fruit/vegetable juice, ,whole milk,yogurt,0.00945602440264362,0.1308016877637131,2.334727040210741
hamburger meat, ,other vegetables,whole milk,0.00630401626842908,0.18960244648318042,2.533614213535434
hygiene articles, ,other vegetables,whole milk,0.005185561769191663,0.1574074074074074,2.1033992552334944
long life bakery product, ,other vegetables,whole milk,0.0056939501779359435,0.15217391304347827,2.0334652646502835
other vegetables,rolls/buns,margarine, ,0.005185561769191663,0.1217183770883055,2.0782990254574387
margarine, ,other vegetables,root vegetables,0.005897305541433655,0.10069444444444445,2.1251713757749164
margarine, ,other vegetables,whole milk,0.009252669039145907,0.1579861111111111,2.111132340730676
margarine,other vegetables,yogurt, ,0.0056939501779359435,0.288659793814433,2.069219440353461
margarine, ,rolls/buns,whole milk,0.007930859176410779,0.13541666666666669,2.391064482345901
margarine, ,whole milk,yogurt,0.007015760040671073,0.11979166666666667,2.138205157289776
napkins, ,whole milk,yogurt,0.006100660904931368,0.11650485436893203,2.0795376455870174
other vegetables,newspapers,root vegetables, ,0.005998983223182512,0.3105263157894737,2.8489051453260017
other vegetables,newspapers,yogurt, ,0.005592272496187087,0.2894736842105263,2.0750537056928033
oil, ,other vegetables,whole milk,0.005083884087442806,0.18115942028985507,2.420791981726528
onions, ,other vegetables,root vegetables,0.0056939501779359435,0.1836065573770492,3.8750439738267786
onions, ,other vegetables,whole milk,0.0066090493136756485,0.21311475409836067,2.847803813257306
other vegetables,pastry,root vegetables, ,0.005897305541433655,0.26126126126126126,2.396925843754202
other vegetables,pastry,tropical fruit, ,0.005083884087442806,0.2252252252252252,2.1464051260562886
other vegetables,pastry,yogurt, ,0.0066090493136756485,0.2927927927927928,2.0988462952748668
pip fruit, ,other vegetables,root vegetables,0.00813421453990849,0.10752688172043011,2.2693709908163737
pip fruit, ,other vegetables,tropical fruit,0.00945602440264362,0.125,3.4826487252124645
other vegetables,pip fruit,whipped/sour cream, ,0.005592272496187087,0.2140077821011673,2.985484449595717
pip fruit, ,other vegetables,whole milk,0.013523131672597865,0.17876344086021506,2.3887750555165965
pip fruit, ,other vegetables,yogurt,0.00813421453990849,0.10752688172043011,2.47664375110171
other vegetables,rolls/buns,pork, ,0.005592272496187087,0.13126491646778043,2.276879106632488
pork, ,other vegetables,root vegetables,0.007015760040671073,0.1216931216931217,2.568351613415991
pork, ,other vegetables,whole milk,0.010167768174885612,0.1763668430335097,2.3567498658078367
root vegetables, ,other vegetables,rolls/buns,0.012201321809862735,0.11194029850746269,2.6275246678302997
other vegetables,rolls/buns,sausage, ,0.008845958312150484,0.20763723150358,2.210078108049469
other vegetables,rolls/buns,whipped/sour cream, ,0.006710726995424504,0.15751789976133654,2.1974305590819077
other vegetables,sausage,root vegetables, ,0.00681240467717336,0.2528301886792453,2.3195754716981134
other vegetables,shopping bags,root vegetables, ,0.0066090493136756485,0.2850877192982456,2.6155202605394083
other vegetables,soda,root vegetables, ,0.008235892221657347,0.25155279503105593,2.3078560999351074
root vegetables, ,other vegetables,tropical fruit,0.012302999491611592,0.11287313432835822,3.144779819035136
whipped/sour cream, ,other vegetables,root vegetables,0.008540925266903915,0.11914893617021277,2.5146561957812072
other vegetables, ,whole milk,root vegetables,0.023182511438739197,0.11981082501313715,2.4497701954349353
root vegetables, ,other vegetables,yogurt,0.012913065582104729,0.11847014925373135,2.728697700024468
other vegetables,sausage,shopping bags, ,0.005388917132689374,0.19999999999999998,2.029927760577915
other vegetables,soda,sausage, ,0.007219115404168785,0.2204968944099379,2.3469555806512328
other vegetables,sausage,tropical fruit, ,0.005998983223182512,0.22264150943396227,2.12178221442153
other vegetables,sausage,yogurt, ,0.00813421453990849,0.3018867924528302,2.1640354254909506
other vegetables,soda,tropical fruit, ,0.007219115404168785,0.2204968944099379,2.1013439501179643
sugar, ,other vegetables,whole milk,0.00630401626842908,0.1861861861861862,2.4879635069852464
whipped/sour cream, ,other vegetables,tropical fruit,0.007829181494661922,0.10921985815602837,3.042995198199827
tropical fruit, ,other vegetables,whole milk,0.01708185053380783,0.16279069767441862,2.1753349342770476
tropical fruit, ,other vegetables,yogurt,0.012302999491611592,0.11724806201550388,2.700549625111196
whipped/sour cream, ,other vegetables,whole milk,0.014641586171835282,0.20425531914893616,2.7294172062904716
whipped/sour cream, ,other vegetables,yogurt,0.010167768174885612,0.14184397163120566,3.267061969538425
other vegetables, ,whole milk,yogurt,0.02226741230299949,0.11508145034156594,2.0541307878571704
whole milk,pastry,pip fruit, ,0.005083884087442806,0.1529051987767584,2.021266975765348
root vegetables,pastry,whole milk, ,0.0056939501779359435,0.5185185185185185,2.029299494480553
whole milk,sausage,pastry, ,0.0056939501779359435,0.1904761904761905,2.140952380952381
whole milk,soda,pastry, ,0.008235892221657347,0.20558375634517767,2.3107614213197967
yogurt,pastry,whole milk, ,0.009150991357397052,0.5172413793103449,2.024301219863606
root vegetables,pip fruit,tropical fruit, ,0.0052872394509405184,0.33986928104575165,3.238967421593961
pip fruit, ,whole milk,root vegetables,0.008947635993899338,0.11827956989247311,2.4184606442670957
root vegetables,pip fruit,yogurt, ,0.0052872394509405184,0.33986928104575165,2.4363078564759237
sausage,pip fruit,whole milk, ,0.005592272496187087,0.5188679245283019,2.030666946970095
pip fruit, ,tropical fruit,whole milk,0.008439247585155059,0.11155913978494623,2.637461874483044
tropical fruit,pip fruit,yogurt, ,0.006405693950177936,0.31343283582089554,2.2468017057569294
whipped/sour cream,pip fruit,whole milk, ,0.005998983223182512,0.6483516483516485,2.5374207964737217
pip fruit, ,whole milk,yogurt,0.009557702084392475,0.12634408602150535,2.2551616806197914
rolls/buns,pork,whole milk, ,0.0062023385866802234,0.5495495495495495,2.150744058822053
pork, ,whole milk,root vegetables,0.00681240467717336,0.11816578483245149,2.4161340828007494
rolls/buns,root vegetables,tropical fruit, ,0.005897305541433655,0.24267782426778242,2.312729071389186
root vegetables, ,rolls/buns,whole milk,0.012709710218607015,0.1166044776119403,2.0588959377260916
rolls/buns,root vegetables,yogurt, ,0.007219115404168785,0.29707112970711297,2.129514985910682
rolls/buns,shopping bags,sausage, ,0.005998983223182512,0.3072916666666667,3.2707938762626267
sausage, ,rolls/buns,soda,0.009659379766141332,0.10281385281385282,2.6821597942287596
rolls/buns,tropical fruit,yogurt, ,0.008744280630401627,0.35537190082644626,2.547436329903862
rolls/buns,whipped/sour cream,whole milk, ,0.007829181494661922,0.5347222222222222,2.0927151036830702
root vegetables,sausage,whole milk, ,0.007727503812913066,0.5170068027210885,2.023383169423758
root vegetables,sausage,yogurt, ,0.005185561769191663,0.3469387755102041,2.4869845897542686
root vegetables, ,tropical fruit,whole milk,0.011997966446365024,0.11007462686567165,2.6023652769804824
tropical fruit,root vegetables,yogurt, ,0.00813421453990849,0.3864734299516908,2.7703835157251304
whipped/sour cream, ,whole milk,root vegetables,0.00945602440264362,0.13191489361702127,2.6972619100278674
root vegetables,whipped/sour cream,yogurt, ,0.006405693950177936,0.375,2.6881377551020407
root vegetables, ,whole milk,yogurt,0.014539908490086425,0.1333955223880597,2.3810253406289785
shopping bags,sausage,soda, ,0.0056939501779359435,0.36363636363636365,2.085343228200371
soda,yogurt,sausage, ,0.005592272496187087,0.20446096654275092,2.176270136307311
tropical fruit,sausage,whole milk, ,0.007219115404168785,0.5182481751824818,2.0282414655470387
whipped/sour cream,sausage,whole milk, ,0.005083884087442806,0.5617977528089887,2.198679227567212
whole milk,sausage,yogurt, ,0.008744280630401627,0.2925170068027211,2.0968693599888932
tropical fruit,soda,yogurt, ,0.0066090493136756485,0.3170731707317073,2.272896963663514
whipped/sour cream, ,tropical fruit,whole milk,0.007930859176410779,0.11063829787234043,2.6156914893617023
tropical fruit,whipped/sour cream,yogurt, ,0.0062023385866802234,0.44852941176470584,3.215223589435774
tropical fruit, ,whole milk,yogurt,0.015149974580579562,0.1443798449612403,2.5770885212228642
whipped/sour cream, ,whole milk,yogurt,0.010879511947127605,0.15177304964539007,2.709052528606917
other vegetables,citrus fruit,whole milk,root vegetables,0.005795627859684799,0.2007042253521127,4.103796374923136
other vegetables,fruit/vegetable juice,whole milk,yogurt,0.005083884087442806,0.24154589371980675,4.3114407708426485
other vegetables,pip fruit,whole milk,root vegetables,0.005490594814438231,0.21011673151750973,4.29625375150667
other vegetables,pip fruit,whole milk,yogurt,0.005083884087442806,0.19455252918287938,3.4726390644530283
other vegetables,rolls/buns,whole milk,root vegetables,0.0062023385866802234,0.14558472553699284,2.976768764358263
other vegetables,rolls/buns,whole milk,yogurt,0.005998983223182512,0.14081145584725538,2.5133950422100844
other vegetables,root vegetables,tropical fruit,whole milk,0.007015760040671073,0.148068669527897,3.5006138577088146
other vegetables,root vegetables,whole milk,whipped/sour cream,0.005185561769191663,0.10944206008583691,3.3954658073949715
other vegetables,root vegetables,whole milk,yogurt,0.007829181494661922,0.16523605150214593,2.949358559933948
other vegetables,tropical fruit,whole milk,yogurt,0.007625826131164209,0.21246458923512745,3.7923579584890716
other vegetables,whipped/sour cream,whole milk,yogurt,0.005592272496187087,0.1936619718309859,3.4567431814115177
tropical fruit,root vegetables,whole milk,yogurt,0.0056939501779359435,0.2705314009661836,4.828813663343767
